id,label,category,year,author,desc,githubUrl,paperUrl,license,maintenance,lastReviewed,lastUpdated,supportsCharges,supportsSpins,elementsCovered
nequip,NequIP,Equivariant,2021,Harvard (Kozinsky lab),"E(3)-equivariant message-passing potential that set the template for data-efficient, high-accuracy force fields across molecules and materials.",https://github.com/mir-group/nequip,https://arxiv.org/abs/2101.03164,MIT,maintained,2026-04-19,,false,false,dataset-dependent (general molecules and materials)
allegro,Allegro,Equivariant,2023,Harvard (Kozinsky lab),Strictly local equivariant architecture designed for massive parallel MD (100M+ atoms) while retaining NequIP-level accuracy.,https://github.com/mir-group/allegro,https://www.nature.com/articles/s41467-023-36329-y,,,,,,,—
eqv2,Equiformer V2,Transformer,2024,Meta FAIR / MIT,Improved equivariant transformer with higher-degree tensor representations; achieves state-of-the-art OC20/OC22 performance with strong data-efficiency.,https://github.com/atomicarchitects/equiformer_v2,https://arxiv.org/abs/2306.12059,,,,,,,—
mace,MACE,Equivariant,2022,Cambridge / Csányi group,Higher-order equivariant message passing (4-body messages) that reaches or surpasses SOTA accuracy with only 1–2 layers and powers universal MACE-MP models.,https://github.com/ACEsuit/mace,https://arxiv.org/abs/2206.07697,MIT,active,2026-04-19,,false,false,all elements covered by MPTrj / Alexandria (~89 elements)
grace,GRACE,Equivariant,2024,ICAMS,Graph Atomic Cluster Expansion: a foundation-scale implementation of ACE with explicit multi-body basis functions for wide-coverage materials modelling.,https://github.com/ICAMS/grace-tensorpotential,,,,,,,,—
orb,Orb-v3,Transformer,2025,Orbital Materials,"Wide & shallow graph neural simulator with smoothed attention, heavily optimized for torch.compile and extreme throughput on large periodic systems.",https://github.com/orbital-materials/orb-models,,Apache-2.0,active,2026-04-19,,false,false,all elements covered by MPTrj / Alexandria (~89 elements)
orbmol,OrbMol,Transformer,2025,Orbital Materials,"Orb-v3 variant for molecules, electrolytes, metal complexes, and biomolecules, trained on the ~100M-structure OMol25 dataset with explicit total-charge and spin-multiplicity conditioning.",https://huggingface.co/Orbital-Materials/OrbMol,https://www.orbitalindustries.com/posts/orbmol-extending-orb-to-molecular-systems,,,,,true,true,elements present in OMol25 (organic + electrolyte + metal-complex chemistry)
tfn,Tensor Field Networks,Equivariant,2018,Thomas et al.,"First E(3)-equivariant convolutional architecture for point clouds, introducing spherical-harmonic tensor products that underlie nearly all modern equivariant MLIPs (NequIP, MACE, Equiformer).",https://github.com/tensorfieldnetworks/tensorfieldnetworks,https://arxiv.org/abs/1802.08219,,,,,,,—
se3t,SE(3)-Transformer,Transformer,2020,Fuchs et al.,Self-attention generalized to SE(3)-equivariant inputs via tensor field attention; an early blueprint for equivariant transformer architectures like Equiformer.,https://github.com/FabianFuchsML/se3-transformer-public,https://arxiv.org/abs/2006.10503,,,,,,,—
jmp,JMP,Transformer,2024,Shoghi et al. (CMU / Meta),"Joint Multi-task Pretraining: trains one backbone simultaneously on OC20, OC22, ANI-1x and Transition-1x, demonstrating that multi-dataset pretraining yields strong transferable potentials — a precursor to UMA-style universal models.",https://github.com/facebookresearch/JMP,https://arxiv.org/abs/2310.16802,,,,,,,—
esen,eSEN,Equivariant,2025,Meta FAIR,Equivariant Smooth Energy Network: conservative-force equivariant GNN with a smooth potential energy surface designed for stable long-horizon MD. Serves as the backbone underneath Meta's UMA foundation model.,https://github.com/facebookresearch/fairchem,https://arxiv.org/abs/2502.12147,,,,,,,—
uma,UMA,Transformer,2025,Meta FAIR,"Universal Model for Atoms: a Mixture of Linear Experts (MoLE) foundation model built on the eSEN backbone, trained on ~500M structures spanning OC20, ODAC23, OMat24, OMC25, and OMol25. NeurIPS 2025 spotlight.",https://huggingface.co/facebook/UMA,https://arxiv.org/abs/2506.23971,,,,,,,—
nequix,Nequix,Equivariant,2025,Koker & Smidt (MIT Atomic Architects),"Compact E(3)-equivariant foundation potential that pairs a simplified NequIP design with equivariant RMS layer normalization and the Muon optimizer, reaching near-SOTA accuracy on a <125 GPU-hour training budget.",https://github.com/atomicarchitects/nequix,https://arxiv.org/abs/2508.16067,,,,,,,—
