id,label,category,year,author,desc,githubUrl,paperUrl,license,maintenance,lastReviewed,lastUpdated
nequip,NequIP,Equivariant,2021,Harvard (Kozinsky lab),"E(3)-equivariant message-passing potential that set the template for data-efficient, high-accuracy force fields across molecules and materials.",https://github.com/mir-group/nequip,https://arxiv.org/abs/2101.03164,MIT,maintained,2026-04-19,
allegro,Allegro,Equivariant,2023,Harvard (Kozinsky lab),Strictly local equivariant architecture designed for massive parallel MD (100M+ atoms) while retaining NequIP-level accuracy.,https://github.com/mir-group/allegro,https://www.nature.com/articles/s41467-023-36329-y,,,,
eqv2,Equiformer V2,Transformer,2024,Meta FAIR / MIT,Improved equivariant transformer with higher-degree tensor representations; achieves state-of-the-art OC20/OC22 performance with strong data-efficiency.,https://github.com/atomicarchitects/equiformer_v2,https://arxiv.org/abs/2306.12059,,,,
mace,MACE,Equivariant,2022,Cambridge / Csányi group,Higher-order equivariant message passing (4-body messages) that reaches or surpasses SOTA accuracy with only 1–2 layers and powers universal MACE-MP models.,https://github.com/ACEsuit/mace,https://arxiv.org/abs/2206.07697,MIT,active,2026-04-19,
grace,GRACE,Equivariant,2024,ICAMS,Graph Atomic Cluster Expansion: a foundation-scale implementation of ACE with explicit multi-body basis functions for wide-coverage materials modelling.,https://github.com/ICAMS/grace-tensorpotential,,,,,
orb,Orb-v3,Transformer,2025,Orbital Materials,"Wide & shallow graph neural simulator with smoothed attention, heavily optimized for torch.compile and extreme throughput on large periodic systems.",https://github.com/orbital-materials/orb-models,,Apache-2.0,active,2026-04-19,
orbmol,OrbMol,Transformer,2025,Orbital Materials,"Orb-v3 variant for molecules, electrolytes, metal complexes, and biomolecules, trained on the ~100M-structure OMol25 dataset with explicit total-charge and spin-multiplicity conditioning.",https://huggingface.co/Orbital-Materials/OrbMol,https://www.orbitalindustries.com/posts/orbmol-extending-orb-to-molecular-systems,,,,
tfn,Tensor Field Networks,Equivariant,2018,Thomas et al.,"First E(3)-equivariant convolutional architecture for point clouds, introducing spherical-harmonic tensor products that underlie nearly all modern equivariant MLIPs (NequIP, MACE, Equiformer).",https://github.com/tensorfieldnetworks/tensorfieldnetworks,https://arxiv.org/abs/1802.08219,,,,
se3t,SE(3)-Transformer,Transformer,2020,Fuchs et al.,Self-attention generalized to SE(3)-equivariant inputs via tensor field attention; an early blueprint for equivariant transformer architectures like Equiformer.,https://github.com/FabianFuchsML/se3-transformer-public,https://arxiv.org/abs/2006.10503,,,,
jmp,JMP,Transformer,2024,Shoghi et al. (CMU / Meta),"Joint Multi-task Pretraining: trains one backbone simultaneously on OC20, OC22, ANI-1x and Transition-1x, demonstrating that multi-dataset pretraining yields strong transferable potentials — a precursor to UMA-style universal models.",https://github.com/facebookresearch/JMP,https://arxiv.org/abs/2310.16802,,,,
esen,eSEN,Equivariant,2025,Meta FAIR,Equivariant Smooth Energy Network: conservative-force equivariant GNN with a smooth potential energy surface designed for stable long-horizon MD. Serves as the backbone underneath Meta's UMA foundation model.,https://github.com/facebookresearch/fairchem,https://arxiv.org/abs/2502.12147,,,,
uma,UMA,Transformer,2025,Meta FAIR,"Universal Model for Atoms: a Mixture of Linear Experts (MoLE) foundation model built on the eSEN backbone, trained on ~500M structures spanning OC20, ODAC23, OMat24, OMC25, and OMol25. NeurIPS 2025 spotlight.",https://huggingface.co/facebook/UMA,https://arxiv.org/abs/2506.23971,,,,
bpnn,BPNN,Descriptor,2007,Behler & Parrinello,The Behler–Parrinello high-dimensional neural network potential — the 2007 paper that introduced symmetry functions and the atomic-decomposition framework underlying essentially every modern MLIP.,https://github.com/CompPhysVienna/n2p2,https://doi.org/10.1103/PhysRevLett.98.146401,,,,
ace,ACE,Descriptor,2019,Drautz (ICAMS),"Atomic Cluster Expansion: a complete, systematically improvable many-body basis for the local atomic environment; the mathematical backbone of PACE/GRACE and a strong influence on MACE.",https://github.com/ICAMS/lammps-user-pace,https://arxiv.org/abs/1810.06640,,,,
gap,GAP / SNAP,Descriptor,2010,Cambridge / Sandia,"Gaussian Approximation Potentials and SNAP: kernel and descriptor-based MLIPs with rigorous many-body expansions, accurate but relatively expensive.",https://github.com/libAtoms/QUIP,,,,,
deepmd,DeepMD,Descriptor,2018,DeepModeling,"Deep Potential Molecular Dynamics: local frame descriptors + deep networks giving ab-initio-level accuracy with linear scaling, widely used for large MD.",https://github.com/deepmodeling/deepmd-kit,https://doi.org/10.1016/j.cpc.2018.02.017,,,,
dpa2,DPA-2,Descriptor,2024,DeepModeling,"Second-generation Deep Potential architecture with attention and multi-task heads, targeting a universal deep potential for diverse chemistries.",https://github.com/deepmodeling/deepmd-kit,,,,,
mattersim,MatterSim,Transformer,2024,Microsoft,"Large-scale foundation model trained on millions of ab-initio trajectories, designed as a reusable simulator for materials discovery workflows.",https://github.com/microsoft/mattersim,,,,,
ani,ANI-2x,Descriptor,2019,Isayev / Roitberg,"Accurate NeurAl networK engINe potential for organic molecules (C,H,N,O,S,F,Cl); widely used in drug discovery for fast geometry and energy scans.",https://github.com/aiqm/torchani,https://arxiv.org/abs/1909.08565,,,,
schnet,SchNet,Invariant,2017,Schütt et al.,"Continuous-filter convolutional network that introduced smooth, translation-invariant filters for molecules and crystals; the baseline for many later GNN MLIPs.",https://github.com/atomistic-machine-learning/schnetpack,https://arxiv.org/abs/1706.08566,,,,
dimenet,DimeNet++,Invariant,2020,Gasteiger et al.,"Directional message passing network with spherical basis functions that explicitly encode bond angles, improving data efficiency over SchNet-style models.",https://github.com/gasteigerjo/dimenet,https://arxiv.org/abs/2011.14115,,,,
gemnet,GemNet-OC,Equivariant,2021,TUM / OC20,High-capacity spherical message-passing architecture used in the OC20/OC22 benchmarks; very strong for catalyst adsorption and surface chemistry.,https://github.com/OpenCatalystProject/ocp,,,,,
