id,label,category,year,author,desc,githubUrl,paperUrl,license,maintenance,verificationStatus,entityType,trainingScope,inferenceCost,speedTier,accuracyTier,lastReviewed,lastUpdated,supportsCharges,supportsSpins,elementsCovered,trainedDatasets
nequip,NequIP,Equivariant,2021,Harvard (Kozinsky) / MIT (Smidt),"E(3)-equivariant message-passing potential that set the template for data-efficient, high-accuracy force fields across molecules and materials.",https://github.com/mir-group/nequip,https://arxiv.org/abs/2101.03164,MIT,maintained,verified,architecture,unknown,,,,2026-05-05,,false,false,dataset-dependent (general molecules and materials),
allegro,Allegro,Equivariant,2023,Harvard (Kozinsky lab),Strictly local equivariant architecture designed for massive parallel MD (100M+ atoms) while retaining NequIP-level accuracy.,https://github.com/mir-group/allegro,https://www.nature.com/articles/s41467-023-36329-y,MIT,maintained,verified,architecture,unknown,,,,2026-05-05,,false,false,dataset-dependent (general molecules and materials),
eqv2,Equiformer V2,Transformer,2024,"Meta FAIR / MIT (Liao, Smidt et al.)",Improved equivariant transformer with higher-degree tensor representations; achieves state-of-the-art OC20/OC22 performance with strong data-efficiency.,https://github.com/atomicarchitects/equiformer_v2,https://arxiv.org/abs/2306.12059,MIT,maintained,verified,architecture,unknown,,,,2026-05-05,,false,false,all elements covered by OC20 / OC22 (~56 elements),
mace,MACE,Equivariant,2022,Cambridge (Csányi) / UBC (Ortner) — Batatia et al.,Higher-order equivariant message passing (4-body messages) that reaches SOTA accuracy with only 1-2 layers; later extended into the universal MACE-MP foundation model family.,https://github.com/ACEsuit/mace,https://arxiv.org/abs/2206.07697,MIT,active,partially_verified,architecture,unknown,,,,2026-05-05,,false,false,dataset-dependent (architecture; ~89-element universal coverage via the MACE-MP foundation variants),
grace,GRACE,Equivariant,2024,ICAMS,Graph Atomic Cluster Expansion: a foundation-scale implementation of ACE with explicit multi-body basis functions for wide-coverage materials modelling.,https://github.com/ICAMS/grace-tensorpotential,https://arxiv.org/abs/2508.17936,Apache-2.0,active,verified,model_family,universal_foundation,,,,2026-05-05,,false,false,all elements covered by OMat24 / MPTrj (~89 elements),
orb,Orb-v3,Transformer,2025,Orbital Materials,"Non-equivariant, non-conservative graph neural network potential systematically trading off roto-equivariance, conservatism, and graph sparsity for >10x latency and >8x memory reduction at near-SOTA accuracy on large periodic systems.",https://github.com/orbital-materials/orb-models,https://arxiv.org/abs/2504.06231,Apache-2.0,active,verified,trained_model,universal_foundation,,,,2026-05-05,,false,false,all elements covered by MPTrj / Alexandria (~89 elements),
orb_v2,Orb-v2,Transformer,2024,Orbital Materials,Predecessor to Orb-v3. A non-equivariant graph network exploring trade-offs between accuracy and inference cost on materials simulation; trained on MPTrj + Alexandria with rotation-invariance learnt rather than imposed.,https://github.com/orbital-materials/orb-models,https://arxiv.org/abs/2410.22570,Apache-2.0,maintained,verified,trained_model,universal_foundation,,,,2026-05-06,,false,false,all elements covered by MPTrj / Alexandria (~89 elements),
orbmol,OrbMol,Transformer,2025,Orbital Materials,"Orb-v3 variant for molecules, electrolytes, metal complexes, and biomolecules, trained on the ~100M-structure OMol25 dataset with explicit total-charge and spin-multiplicity conditioning.",https://huggingface.co/Orbital-Materials/OrbMol,https://www.orbitalmaterials.com/posts/orbmol-extending-orb-to-molecular-systems,Apache-2.0,active,partially_verified,trained_model,multi_domain,,,,2026-05-05,,true,true,elements present in OMol25 (organic + electrolyte + metal-complex chemistry),omol25
orbmol_v2,OrbMol-v2,Transformer,2026,Orbital Materials,"Second-generation OrbMol adding learnable per-atom electrostatics to the OrbMol molecular potential: a LatentChargeHead predicts per-atom latent charges constrained to the system total charge, and a CoulombModule adds long-range Coulomb energy (direct summation for non-periodic systems, particle-mesh Ewald for periodic ones). Trained on OMol25 and OPoly26 at the ωB97M-V/def2-TZVPD level.",https://github.com/orbital-materials/orb-models,,Apache-2.0,active,partially_verified,trained_model,domain_specific,,,unknown,2026-06-11,,true,true,"elements present in OMol25 / OPoly26 (organic, electrolyte, metal-complex, polymer chemistry)",omol25; opoly26
tfn,Tensor Field Networks,Equivariant,2018,Thomas et al.,"First E(3)-equivariant convolutional architecture for point clouds, introducing spherical-harmonic tensor products that underlie nearly all modern equivariant MLIPs (NequIP, MACE, Equiformer).",https://github.com/tensorfieldnetworks/tensorfieldnetworks,https://arxiv.org/abs/1802.08219,MIT,archived,verified,architecture,unknown,,,,2026-05-05,,false,false,—,
se3t,SE(3)-Transformer,Transformer,2020,Fuchs et al.,Self-attention generalized to SE(3)-equivariant inputs via tensor field attention; an early blueprint for equivariant transformer architectures like Equiformer.,https://github.com/FabianFuchsML/se3-transformer-public,https://arxiv.org/abs/2006.10503,MIT,archived,verified,architecture,unknown,,,,2026-05-05,,false,false,—,
jmp,JMP,Transformer,2024,Shoghi et al. (CMU / Meta),"Joint Multi-domain Pre-training: a strategy that trains one shared GemNet-OC backbone simultaneously on OC20, OC22, ANI-1x and Transition-1x (~120M systems), demonstrating multi-dataset pretraining for transferable potentials — a precursor to the universal MLIP foundation models that followed.",https://github.com/facebookresearch/JMP,https://arxiv.org/abs/2310.16802,CC-BY-NC-4.0,archived,verified,trained_model,multi_domain,,,,2026-05-05,,false,false,elements present in OC20 / OC22 / ANI-1x / Transition-1x (organic + catalytic chemistry),
esen,eSEN,Equivariant,2025,Meta FAIR,Equivariant Smooth Energy Network: conservative-force equivariant GNN with a smooth potential energy surface designed for stable long-horizon MD. Serves as the backbone underneath Meta's UMA foundation model.,https://github.com/facebookresearch/fairchem,https://arxiv.org/abs/2502.12147,MIT,active,verified,architecture,unknown,,,,2026-05-05,,false,false,all elements covered by OMat24 / MPTrj (~89 elements),
uma,UMA,Transformer,2025,Meta FAIR,"Universal Model for Atoms: a Mixture of Linear Experts (MoLE) foundation model built on the eSEN backbone, trained on ~500M structures spanning OC20, ODAC23, OMat24, OMC25, and OMol25. NeurIPS 2025 spotlight.",https://huggingface.co/facebook/UMA,https://arxiv.org/abs/2506.23971,proprietary,active,verified,model_family,universal_foundation,,,,2026-05-05,,true,true,elements present in OC20 / ODAC23 / OMat24 / OMC25 / OMol25 (~89 elements),oc20; odac23; omat24; omc25; omol25
nequix,Nequix,Equivariant,2025,Koker & Smidt (MIT Atomic Architects),"Compact E(3)-equivariant foundation potential pairing a simplified NequIP design with equivariant RMS layer normalization and the Muon optimizer; 700K parameters trained in ~100 A100 GPU-hours, with ~20x lower training cost and two orders of magnitude faster inference than the top Matbench-Discovery models.",https://github.com/atomicarchitects/nequix,https://arxiv.org/abs/2508.16067,MIT,active,verified,trained_model,universal_foundation,,,,2026-05-05,,false,false,all elements covered by MPTrj / OMat24 (~89 elements),
pet,PET,Transformer,2023,Pozdnyakov & Ceriotti (EPFL),"Point Edge Transformer: an unconstrained graph transformer for atomistic systems. Drops strict equivariance in favour of attention-based message passing on point-and-edge inputs, with rotation-invariance learnt from data rather than imposed by the architecture. Direct precursor to PET-MAD.",https://github.com/lab-cosmo/pet,https://arxiv.org/abs/2305.19302,MIT,maintained,verified,architecture,unknown,,,,2026-05-06,,false,false,—,
petmad,PET-MAD,Transformer,2025,EPFL (Ceriotti lab),"Lightweight universal transformer-GNN potential (Point-Edge Transformer) trained on the Massive Atomistic Diversity (MAD) dataset spanning solids, surfaces, and molecules; competitive with larger uMLIPs across diverse atomistic systems.",https://github.com/lab-cosmo/pet-mad,https://arxiv.org/abs/2503.14118,BSD-3-Clause,active,verified,trained_model,universal_foundation,,,,2026-05-05,,false,false,85 elements,
eqv3,Equiformer V3,Transformer,2026,Liao et al. (MIT Atomic Architects),"Third-generation SE(3)-equivariant graph attention transformer with improved efficiency, expressivity, and generality; achieves the strongest results within the Equiformer family on OC20 S2EF-2M, MPtrj, OMat24, sAlex, and Matbench-Discovery.",https://github.com/atomicarchitects/equiformer_v3,https://arxiv.org/abs/2604.09130,MIT,active,verified,architecture,multi_domain,,,,2026-05-05,,false,false,all elements covered by MPtrj / OMat24 (~89 elements),
mace_polar1,MACE-POLAR-1,Equivariant,2026,"ACEsuit (Kovacs, Batatia, Csanyi et al.)","Polarisable electrostatic foundation model that augments MACE with a non-self-consistent polarisable field formalism, learning atomic charge and spin densities (Gaussian-type multipoles) directly from energies/forces; global charge/spin constraints are enforced via learnable Fukui equilibration functions. Trained on OMol25 (~100M structures at ωB97M-V), released in M (12 A) and L (18 A) receptive-field variants for molecular chemistry and non-covalent interactions.",https://github.com/ACEsuit/mace-foundations,https://arxiv.org/abs/2602.19411,MIT,active,verified,trained_model,universal_foundation,,,,2026-05-05,,true,true,elements present in OMol25 (molecular chemistry / non-covalent interactions),omol25
mace_osaka26,MACE-Osaka26,Equivariant,2026,"Kuroda, Ishihara, Shiota, Mizukami (Osaka Univ. / QIQB)",Multi-domain universal MACE-architecture potential extending the MACE-Osaka series to 97 elements — the broadest elemental coverage to date — by integrating MACE-Osaka24's inorganic + organic data with the newly constructed HE26 heavy-element dataset of minor actinides assembled from experimental and computational literature. Targets nuclear and actinide chemistry while retaining strong performance on the inorganic MPtrj and organic OFF23 test sets.,https://github.com/qiqb-osaka/mace-osaka26,https://arxiv.org/abs/2603.03223,MIT,active,verified,trained_model,universal_foundation,,,,2026-05-05,,false,false,97 elements (incl. minor actinides),
mlanet,MLANet,Equivariant,2026,"Bi, Zhao, Sun, Hu, Lu, Cheng (Shanghai University)","Efficient equivariant graph neural network MLIP that introduces a geometry-aware dual-path dynamic attention mechanism inside its message-passing layers and a physics-informed multi-perspective pooling strategy for global system representations. Demonstrates competitive accuracy with mainstream equivariant models at markedly lower computational cost across organic molecules (QM7, MD17), Li-containing crystals, two-dimensional materials (bilayer graphene, black phosphorus), surface catalytic reactions (formate decomposition), and charged systems, while remaining stable for long-time MD simulations.",,https://arxiv.org/abs/2603.22810,,experimental,verified,architecture,unknown,,,,2026-05-05,,true,false,—,
equiewald,EquiEwald,Equivariant,2026,Zhang et al. (Shanghai AI Lab / CUHK),"Unified neural interatomic potential that embeds an Ewald-inspired reciprocal-space formulation inside an irreducible SO(3)-equivariant framework. Performs equivariant message passing in reciprocal space via learned equivariant k-space filters and an equivariant inverse transform, capturing anisotropic tensorial long-range correlations without sacrificing physical consistency; consistently improves energy and force accuracy, data efficiency, and long-range extrapolation across periodic systems, supramolecular assemblies, conjugated molecules, charged dimers, and biomolecular dynamics.",,https://arxiv.org/abs/2603.18389,,experimental,verified,architecture,unknown,,,,2026-05-05,,false,false,—,
allscaip,AllScAIP,Transformer,2026,"Qu, Wood, Krishnapriyan, Ulissi (FAIR / Meta, UC Berkeley, LBNL)","Scalable, energy-conserving, attention-based MLIP that pairs local neighborhood self-attention with a global all-to-all node attention layer in which every atom attends to every other atom. The data-driven all-to-all component captures long-range interactions without explicit electrostatic priors and remains the most durable ingredient as data and model size scale to O(100M) training samples. Sits atop the OMol25 leaderboard at release while remaining competitive on OMat24 (materials) and OC20 (catalysts); cuts long-range distance-scaling error by ~90% versus the next-best foundation model, with stable long-timescale MD recovering experimental densities and heats of vaporisation.",https://github.com/facebookresearch/fairchem,https://arxiv.org/abs/2603.06567,MIT,active,verified,trained_model,multi_domain,,,,2026-05-05,,true,true,all elements covered by OMol25 / OMat24 (~89 elements),omol25; omat24; oc20
mace_mag,MACE-Magnetic,Equivariant,2026,"Ho, van der Oord, Darby, Csányi, Ortner et al. (Cambridge / UBC / ACEsuit)","Equivariant many-body message-passing interatomic potential extending the MACE framework to magnetic materials by embedding atomic magnetic moments as explicit degrees of freedom alongside positions. Learns physically consistent and transferable representations of magnetic behaviour beyond collinear approximations and can incorporate spin-orbit coupling, achieving near density-functional-theory accuracy with strong data efficiency by fine-tuning from a pre-trained foundation model. Targets structural transformations, finite-temperature magnetic phenomena, and high-throughput screening of strongly spin-orbit coupled materials.",,https://arxiv.org/abs/2604.08143,,experimental,verified,architecture,domain_specific,,,,2026-05-05,,false,true,—,
allegro_moe,Allegro-MoE,Equivariant,2026,"Nascimento, Descoteaux, Zichi, Tan, Witt, Molinari, Mantha, Kitchaev, Kornbluth, Gadelrab, Tuffile, Kozinsky (Harvard / Bosch)","Multifidelity Mixture-of-Experts framework built on the strictly local E(3)-equivariant Allegro architecture. Spatially partitions the simulation domain into chemically complex regions (e.g. reactive interfaces) and simple regions (e.g. bulk lattices) and assigns Allegro experts of different capacity to each, enabling expensive high-fidelity inference only where required while a cheaper expert handles the rest of the cell.",,https://arxiv.org/abs/2604.26143,,experimental,verified,architecture,unknown,,,,2026-05-05,,false,false,—,
hi_mlip,Hi-MLIP,Equivariant,2026,"Yin, Ouyang, Fan, Lin, Hu, Lv, Cao, Xiao, Chen, Ren (ByteDance Seed / Tsinghua / Peking University)","Hessian-informed machine learning interatomic potential trained with the Hessian-INformed Training (HINT) protocol — Hessian pre-training, configuration sampling, curriculum learning, and a stochastic projected Hessian loss — to attain Hessian-level accuracy with two to four orders of magnitude fewer high-fidelity Hessian labels than standard training. Substantially improves transition-state search and brings Gibbs free-energy predictions close to chemical accuracy in data-scarce regimes, and reproduces phonon renormalization and superconducting Tc of strongly anharmonic hydrides in close agreement with experiment.",,https://arxiv.org/abs/2603.25373,,experimental,verified,trained_model,domain_specific,,,,2026-05-05,,false,false,—,
